"id_cliente","subcanal","mes_alta"
3823,"C","2004-11-01"
5813,"C","2004-11-01"
5999,"C","2004-11-01"
8425,"B","2000-10-01"
9993,"D","1998-07-01"
9995,"D","1910-01-01"
10001,"B","1998-07-01"
10231,"B","1910-01-01"
10801,"B","1910-01-01"
10865,"C","1910-01-01"
11439,"B","1910-01-01"
11447,"B","1910-01-01"
12745,"C","2004-07-01"
12883,"C","2004-08-01"
12931,"C","2005-08-01"
13191,"C","2004-11-01"
14695,"C","2004-11-01"
14925,"C","2004-11-01"
15841,"C","2004-11-01"
16241,"C","2004-11-01"
16443,"C","2004-11-01"
16481,"C","2004-11-01"
16637,"C","2004-11-01"
16917,"C","2004-11-01"
16949,"C","2004-11-01"
17019,"C","2004-11-01"
17083,"C","2004-11-01"
17119,"C","2004-11-01"
17567,"D","2004-11-01"
17701,"C","2004-11-01"
17811,"C","2004-11-01"
17815,"C","2004-11-01"
18055,"C","2004-11-01"
18083,"C","2004-11-01"
18411,"C","2004-11-01"
18729,"C","2004-11-01"
19495,"B","2004-11-01"
19847,"C","2004-11-01"
19937,"C","2004-11-01"
20839,"C","2004-11-01"
21299,"C","2004-11-01"
25959,"C","2004-11-01"
26413,"C","2004-11-01"
27075,"A","2004-11-01"
60179,"B","1910-01-01"
65453,"B","2019-03-01"
65457,"C","2019-03-01"
65459,"C","2019-03-01"
65461,"C","2019-03-01"
65467,"A","2019-03-01"
65469,"A","2019-03-01"
65479,"C","2019-03-01"
65483,"C","2019-03-01"
65485,"C","2019-03-01"
65489,"B","2019-03-01"
65491,"B","2019-03-01"
65493,"C","2019-03-01"
65495,"C","2019-03-01"
65497,"C","2019-03-01"
65507,"B","2019-03-01"
65509,"C","2019-03-01"
65517,"C","2019-04-01"
65525,"C","2019-04-01"
65531,"C","2019-04-01"
65533,"C","2019-04-01"
65535,"C","2019-04-01"
65543,"C","2019-04-01"
65549,"C","2019-04-01"
65551,"C","2019-04-01"
65563,"C","2019-04-01"
65565,"A","2019-04-01"
65571,"C","2019-04-01"
65579,"A","2019-04-01"
65585,"C","2019-04-01"
65587,"C","2019-04-01"
65589,"C","2019-04-01"
65601,"C","2019-04-01"
65609,"C","2019-04-01"
65611,"B","2019-04-01"
65619,"C","2019-04-01"
65623,"C","2019-04-01"
65631,"C","2019-04-01"
65641,"A","2019-04-01"
65643,"C","2019-04-01"
65647,"C","2019-04-01"
65651,"C","2019-04-01"
65655,"B","2019-04-01"
65659,"B","2019-04-01"
65667,"C","2019-04-01"
65669,"C","2019-04-01"
65673,"C","2019-04-01"
65675,"C","2019-04-01"
65677,"C","2019-04-01"
65679,"B","2019-04-01"
65683,"C","2019-04-01"
65701,"C","2019-04-01"
65705,"C","2019-04-01"
65709,"C","2019-04-01"
65711,"C","2019-04-01"
65713,"C","2019-04-01"
65717,"C","2019-04-01"
65719,"C","2019-04-01"
65731,"C","2019-04-01"
65733,"C","2019-04-01"
65735,"C","2019-04-01"
65741,"C","2019-04-01"
65743,"C","2019-04-01"
65745,"C","2019-04-01"
65747,"C","2019-04-01"
65751,"C","2019-04-01"
65753,"C","2019-04-01"
65755,"C","2019-04-01"
65763,"A","2019-04-01"
65783,"B","2019-04-01"
65789,"C","2019-04-01"
65791,"C","2019-04-01"
65793,"A","2019-04-01"
65801,"C","2019-04-01"
65803,"C","2019-04-01"
65805,"C","2019-04-01"
65811,"B","2019-04-01"
65813,"C","2019-04-01"
65815,"C","2019-04-01"
65819,"C","2019-04-01"
65821,"B","2019-04-01"
65825,"C","2019-04-01"
65827,"C","2019-04-01"
65829,"C","2019-04-01"
65833,"C","2019-04-01"
65841,"C","2019-04-01"
65849,"C","2019-04-01"
65851,"C","2019-04-01"
65859,"B","2019-04-01"
65871,"C","2019-04-01"
65873,"C","2019-04-01"
65879,"C","2019-04-01"
65891,"C","2019-04-01"
65893,"C","2019-04-01"
65895,"B","2019-04-01"
65897,"C","2019-04-01"
65899,"B","2019-04-01"
65901,"B","2019-04-01"
65905,"C","2019-04-01"
65917,"C","2019-04-01"
65923,"C","2019-04-01"
65925,"C","2019-04-01"
65929,"C","2019-04-01"
65943,"C","2019-04-01"
65949,"C","2019-04-01"
65951,"B","2019-04-01"
65953,"C","2019-04-01"
65955,"C","2019-04-01"
65957,"C","2019-04-01"
65959,"C","2019-04-01"
65961,"C","2019-04-01"
65975,"C","2019-04-01"
65983,"C","2019-04-01"
65989,"C","2019-04-01"
65993,"A","2019-04-01"
65997,"B","2019-04-01"
65999,"B","2019-04-01"
66021,"C","2019-04-01"
66025,"C","2019-04-01"
66029,"C","2019-04-01"
66043,"C","2019-04-01"
66045,"A","2019-04-01"
66049,"C","2019-04-01"
66051,"C","2019-04-01"
66059,"C","2019-04-01"
66061,"C","2019-04-01"
66065,"A","2019-04-01"
66069,"C","2019-04-01"
66075,"C","2019-04-01"
66077,"C","2019-04-01"
66081,"B","2019-04-01"
66083,"A","2019-04-01"
66085,"C","2019-04-01"
66087,"C","2019-04-01"
66097,"C","2019-04-01"
66103,"B","2019-04-01"
66105,"C","2019-04-01"
66113,"C","2019-04-01"
66139,"C","2019-04-01"
66141,"B","2019-04-01"
66145,"C","2019-04-01"
66147,"C","2019-04-01"
66149,"B","2019-04-01"
66151,"C","2019-04-01"
66153,"C","2019-04-01"
66155,"B","2019-04-01"
66159,"B","2019-04-01"
66165,"C","2019-04-01"
66167,"C","2019-04-01"
66171,"C","2019-04-01"
66179,"C","2019-04-01"
66181,"C","2019-04-01"
66189,"B","2019-04-01"
66193,"C","2019-04-01"
66195,"B","2019-04-01"
66199,"C","2019-04-01"
66213,"C","2019-04-01"
66219,"C","2019-04-01"
66223,"C","2019-04-01"
66225,"B","2019-04-01"
66227,"C","2019-04-01"
66233,"C","2019-04-01"
66241,"B","2019-04-01"
66243,"C","2019-04-01"
66245,"C","2019-04-01"
66249,"B","2019-04-01"
66257,"C","2019-04-01"
66259,"C","2019-04-01"
66261,"B","2019-04-01"
66271,"C","2019-04-01"
66275,"C","2019-04-01"
66283,"C","2019-04-01"
66287,"B","2019-04-01"
66289,"B","2019-04-01"
66293,"C","2019-04-01"
66299,"C","2019-04-01"
66301,"C","2019-04-01"
66305,"C","2019-04-01"
66307,"C","2019-04-01"
66315,"C","2019-04-01"
66317,"B","2019-04-01"
66319,"B","2019-04-01"
66321,"C","2019-04-01"
66329,"C","2019-04-01"
66335,"C","2019-04-01"
66337,"C","2019-04-01"
66349,"B","2019-04-01"
66355,"B","2019-04-01"
66359,"C","2019-04-01"
66361,"B","2019-04-01"
