"id_cliente","mes","diasatraso_findemes","deuda_findemes"
10231,"2020-09-01",55,475
10231,"2020-10-01",86,475
10231,"2020-11-01",0,210
10231,"2021-03-01",0,216
10231,"2021-04-01",0,112
10231,"2021-05-01",0,206
10231,"2021-06-01",6,784
10231,"2021-07-01",0,432
10231,"2021-08-01",0,200
10231,"2021-09-01",0,705
10231,"2021-10-01",0,722
10231,"2021-11-01",0,576
10231,"2021-12-01",0,1720
10231,"2022-01-01",0,448
10231,"2022-02-01",0,314
10231,"2022-03-01",0,688
10231,"2022-04-01",0,529
10865,"2020-09-01",0,185137
10865,"2020-10-01",0,252377
10865,"2020-11-01",0,250102
10865,"2020-12-01",0,440031
10865,"2021-01-01",0,155358
10865,"2021-02-01",0,214432
10865,"2021-03-01",0,202381
10865,"2021-04-01",0,157124
10865,"2021-05-01",0,125171
10865,"2021-06-01",0,90146
10865,"2021-07-01",0,289583
10865,"2021-08-01",0,296564
10865,"2021-09-01",0,204878
10865,"2021-10-01",0,247307
10865,"2021-11-01",0,225304
10865,"2021-12-01",0,566010
10865,"2022-01-01",0,185952
10865,"2022-02-01",0,218443
10865,"2022-03-01",0,192629
10865,"2022-04-01",0,169938
11447,"2020-09-01",0,2127
11447,"2020-10-01",0,9955
11447,"2020-12-01",0,19564
11447,"2021-01-01",2,10138
11447,"2021-02-01",7,15017
11447,"2021-03-01",0,8437
11447,"2021-04-01",0,19403
11447,"2021-05-01",11,12553
11447,"2021-07-01",0,16216
11447,"2021-08-01",0,9855
11447,"2021-09-01",0,24627
11447,"2021-10-01",0,33475
11447,"2021-11-01",0,34599
11447,"2021-12-01",0,59782
11447,"2022-01-01",0,6878
11447,"2022-02-01",0,30786
11447,"2022-03-01",0,20137
11447,"2022-04-01",0,22168
12745,"2020-09-01",6,11832
12745,"2020-10-01",0,17979
12745,"2020-11-01",0,18057
12745,"2020-12-01",0,17848
12745,"2021-01-01",0,19421
12745,"2021-02-01",1,19943
12745,"2021-03-01",0,13753
12745,"2021-04-01",5,18523
12745,"2021-05-01",0,19996
12745,"2021-06-01",0,19949
12745,"2021-07-01",0,8986
12745,"2021-08-01",4,7895
12745,"2021-09-01",7,19957
12745,"2021-10-01",0,19897
12745,"2021-11-01",0,10499
12745,"2021-12-01",0,38084
12745,"2022-01-01",0,19797
12745,"2022-02-01",2,19984
12745,"2022-03-01",0,18982
12745,"2022-04-01",3,19994
12883,"2020-09-01",0,10899
12883,"2020-10-01",2,7152
12883,"2020-11-01",0,6221
12883,"2020-12-01",0,8525
12883,"2021-01-01",0,7631
12883,"2021-02-01",3,11366
12883,"2021-03-01",0,5342
12883,"2021-04-01",0,9388
12883,"2021-05-01",0,5890
12883,"2021-07-01",0,7597
12883,"2021-08-01",4,7308
12883,"2021-09-01",0,5597
12883,"2021-10-01",0,5586
12883,"2021-11-01",0,1578
12883,"2021-12-01",0,14174
12883,"2022-01-01",0,5523
12883,"2022-02-01",0,8897
12883,"2022-03-01",0,2848
12883,"2022-04-01",2,6405
17019,"2020-09-01",0,844
17019,"2020-10-01",0,950
17019,"2020-11-01",3,999
17019,"2020-12-01",5,814
17019,"2021-01-01",0,744
17019,"2021-02-01",0,903
