"id_cliente","mes","limite_maximo","plazo_maximo","limite_findemes","plazo_findemes"
8425,"2021-05-01",10000,21,10000,21
8425,"2021-06-01",10000,21,10000,21
8425,"2021-07-01",10000,21,10000,21
10231,"2020-09-01",1000,15,1000,15
10231,"2020-10-01",1000,15,1000,15
10231,"2020-11-01",1000,15,1000,15
10231,"2020-12-01",1000,15,1000,15
10231,"2021-01-01",1000,15,1000,15
10231,"2021-02-01",1000,15,1000,15
10231,"2021-03-01",1000,15,1000,15
10231,"2021-04-01",1000,15,1000,15
10231,"2021-05-01",1000,15,1000,15
10231,"2021-06-01",1000,15,1000,15
10231,"2021-07-01",1000,21,1000,21
10231,"2021-08-01",1000,21,1000,21
10231,"2021-09-01",1000,21,1000,21
10231,"2021-10-01",1000,21,1000,21
10231,"2021-11-01",1000,21,1000,21
10231,"2021-12-01",1000,21,1000,21
10231,"2022-01-01",1000,21,1000,21
10231,"2022-02-01",1000,21,1000,21
10231,"2022-03-01",1000,21,1000,21
10231,"2022-04-01",1000,21,1000,21
10231,"2022-05-01",1000,21,1000,21
10231,"2022-06-01",1000,21,1000,21
10865,"2020-09-01",570000,35,570000,35
10865,"2020-10-01",570000,35,570000,35
10865,"2020-11-01",570000,35,570000,35
10865,"2020-12-01",570000,35,570000,35
10865,"2021-01-01",570000,35,570000,35
10865,"2021-02-01",570000,35,570000,35
10865,"2021-03-01",570000,35,570000,35
10865,"2021-04-01",570000,35,570000,35
10865,"2021-05-01",570000,35,570000,35
10865,"2021-06-01",570000,35,570000,35
10865,"2021-07-01",570000,35,570000,35
10865,"2021-08-01",570000,35,570000,35
10865,"2021-09-01",570000,35,570000,35
10865,"2021-10-01",570000,35,570000,35
10865,"2021-11-01",570000,35,570000,35
10865,"2021-12-01",570000,35,570000,35
10865,"2022-01-01",570000,35,570000,35
10865,"2022-02-01",570000,35,570000,35
10865,"2022-03-01",570000,35,570000,35
10865,"2022-04-01",570000,35,570000,35
10865,"2022-05-01",570000,35,570000,35
10865,"2022-06-01",570000,35,570000,35
11447,"2020-09-01",35000,15,35000,15
11447,"2020-10-01",35000,15,35000,15
11447,"2020-11-01",35000,15,35000,15
11447,"2020-12-01",35000,15,35000,15
11447,"2021-01-01",35000,15,35000,15
11447,"2021-02-01",35000,15,35000,15
11447,"2021-03-01",35000,15,35000,15
11447,"2021-04-01",35000,15,35000,15
11447,"2021-05-01",35000,15,35000,15
11447,"2021-06-01",35000,15,35000,15
11447,"2021-07-01",35000,21,35000,21
11447,"2021-08-01",35000,21,35000,21
11447,"2021-09-01",35000,21,35000,21
11447,"2021-10-01",35000,21,35000,21
